Date,Open,High,Low,Close,Returns
02/07/2017 22:00:00,5712.969,5712.969,5712.969,5712.969,0
02/07/2017 23:00:00,5712.969,5712.969,5712.969,5712.969,0
03/07/2017 00:00:00,5715.97,5728.969,5701.969,5708.97,-0.000700231
03/07/2017 01:00:00,5707.969,5722.97,5690.969,5720.97,0.002099749
03/07/2017 02:00:00,5720.97,5727.97,5716.969,5721.969,0.000174605
03/07/2017 03:00:00,5720.969,5722.97,5705.969,5708.97,-0.002274355
03/07/2017 04:00:00,5707.97,5707.97,5677.97,5685.97,-0.004036885
03/07/2017 05:00:00,5684.97,5693.97,5684.969,5690.97,0.000878971
03/07/2017 06:00:00,5689.97,5691.97,5673.969,5673.969,-0.002991835
03/07/2017 07:00:00,5681.569,5691.97,5681.569,5690.97,0.002991835
03/07/2017 08:00:00,5689.969,5695.97,5686.569,5693.97,0.000527012
03/07/2017 09:00:00,5693.97,5695.97,5691.569,5693.97,0
03/07/2017 10:00:00,5692.97,5693.97,5689.569,5693.97,0
03/07/2017 11:00:00,5693.969,5695.97,5688.969,5689.969,-0.00070292
03/07/2017 12:00:00,5688.969,5694.97,5685.969,5693.969,0.000702745
03/07/2017 13:00:00,5693.97,5701.97,5691.57,5697.97,0.000702427
03/07/2017 14:00:00,5698.869,5716.97,5698.869,5715.97,0.003154041
03/07/2017 15:00:00,5714.97,5716.97,5710.969,5711.97,-0.000700039
03/07/2017 16:00:00,5710.97,5711.97,5700.969,5700.97,-0.001927637
03/07/2017 17:00:00,5700.969,5701.97,5690.869,5690.97,-0.001755628
03/07/2017 18:00:00,5690.97,5694.97,5689.969,5694.97,0.000702621
03/07/2017 19:00:00,5694.97,5715.97,5694.87,5708.969,0.002455118
03/07/2017 22:00:00,5708.969,5708.969,5708.969,5708.969,0
03/07/2017 23:00:00,5708.969,5708.969,5708.969,5708.969,0
04/07/2017 00:00:00,5730.969,5773.969,5729.969,5767.97,0.010281752
04/07/2017 01:00:00,5766.97,5782.97,5763.969,5777.97,0.001732211
04/07/2017 02:00:00,5776.969,5790.97,5775.969,5789.97,0.0020747
04/07/2017 03:00:00,5787.97,5787.97,5773.969,5779.969,-0.001728791
04/07/2017 04:00:00,5778.969,5793.97,5777.969,5788.97,0.001556063
04/07/2017 05:00:00,5787.969,5787.97,5767.969,5779.969,-0.001556063
04/07/2017 06:00:00,5778.969,5787.97,5771.969,5771.969,-0.001385049
04/07/2017 07:00:00,5773.869,5779.969,5764.969,5774.969,0.000519618
04/07/2017 08:00:00,5774.969,5781.97,5774.969,5781.969,0.001211394
04/07/2017 09:00:00,5780.97,5791.969,5780.97,5791.969,0.001728021
04/07/2017 10:00:00,5790.969,5792.97,5782.969,5783.97,-0.001382005
04/07/2017 11:00:00,5782.969,5783.97,5778.969,5783.969,-1.73E-07
04/07/2017 12:00:00,5782.97,5783.97,5778.969,5780.97,-0.000518637
04/07/2017 13:00:00,5780.969,5784.97,5779.87,5783.97,0.000518809
04/07/2017 14:00:00,5783.97,5785.97,5779.969,5781.97,-0.000345843
04/07/2017 15:00:00,5780.969,5780.969,5770.969,5771.969,-0.001731185
04/07/2017 16:00:00,5770.969,5771.97,5765.869,5767.969,-0.000693245
04/07/2017 17:00:00,5767.969,5769.97,5766.969,5768.97,0.00017353
04/07/2017 18:00:00,5769.969,5776.97,5769.969,5774.97,0.001039507
04/07/2017 19:00:00,5775.969,5785.97,5769.87,5779.97,0.000865431
04/07/2017 22:00:00,5779.97,5779.97,5779.97,5779.97,0
04/07/2017 23:00:00,5779.97,5779.97,5779.97,5779.97,0
05/07/2017 00:00:00,5784.969,5791.97,5753.969,5753.969,-0.004508615
05/07/2017 01:00:00,5753.969,5765.969,5749.969,5755.97,0.0003477
05/07/2017 02:00:00,5755.97,5775.97,5751.969,5772.969,0.002948929
05/07/2017 03:00:00,5771.969,5776.97,5756.969,5760.969,-0.002080817
05/07/2017 04:00:00,5760.969,5766.969,5751.969,5764.97,0.00069426
05/07/2017 05:00:00,5763.969,5775.97,5763.969,5771.97,0.001213494
05/07/2017 06:00:00,5771.969,5771.969,5745.97,5745.97,-0.004514704
05/07/2017 07:00:00,5751.869,5761.97,5749.969,5758.97,0.0022599
05/07/2017 08:00:00,5757.97,5758.97,5749.969,5753.969,-0.000868762
05/07/2017 09:00:00,5753.97,5757.97,5749.969,5756.97,0.000521417
05/07/2017 10:00:00,5755.969,5758.97,5752.87,5758.97,0.000347345
05/07/2017 11:00:00,5757.97,5761.97,5755.969,5760.969,0.00034705
05/07/2017 12:00:00,5761.969,5764.97,5760.87,5762.969,0.000347104
05/07/2017 13:00:00,5761.969,5762.97,5752.869,5759.97,-0.000520527
05/07/2017 14:00:00,5758.969,5759.97,5749.969,5756.97,-0.000520972
05/07/2017 15:00:00,5756.969,5761.97,5754.969,5758.969,0.000347171
05/07/2017 16:00:00,5757.97,5760.97,5754.969,5756.97,-0.000347171
05/07/2017 17:00:00,5756.969,5758.97,5754.97,5757.969,0.000173514
05/07/2017 18:00:00,5756.97,5763.97,5754.969,5757.97,1.74E-07
05/07/2017 19:00:00,5758.97,5771.97,5755.97,5769.969,0.002081726
05/07/2017 22:00:00,5769.969,5769.969,5769.969,5769.969,0
05/07/2017 23:00:00,5769.969,5769.969,5769.969,5769.969,0
06/07/2017 00:00:00,5759.97,5771.97,5734.969,5737.969,-0.005561393
06/07/2017 01:00:00,5737.969,5750.97,5735.969,5739.969,0.000348495
06/07/2017 02:00:00,5738.969,5763.97,5735.969,5761.97,0.003825621
06/07/2017 03:00:00,5762.369,5764.97,5743.969,5745.969,-0.002780865
06/07/2017 04:00:00,5744.969,5757.969,5744.969,5751.97,0.001043839
06/07/2017 05:00:00,5752.369,5762.97,5750.969,5757.969,0.001042404
06/07/2017 06:00:00,5756.97,5757.969,5737.97,5737.97,-0.003479319
